Forgive Tom.	টমকে ক্ষমা করে দাও।
He can come.	উনি আসতে পারেন।
He can read.	সে পড়তে পারে।
He stood up.	সে উঠে দাঁড়ালো।
How are you?	তুই কেমন আছিস?
I am taller.	আমি বেশি লম্বা।
I like both.	আমার দুটোই পছন্দ।
I like cake.	আমি কেক পছন্দ করি।
I like math.	আমি অঙ্ক পছন্দ করি।
I like rice.	আমি ভাত পছন্দ করি।
I live here.	আমি এখানে বাস করি।
I need help.	আমার সাহায্য দরকার।
I need time.	আমার সময় দরকার।
I trust Tom.	আমি টমকে বিশ্বাস করি।
I want more.	আমার আরো চাই।
I want this.	আমার এটা চাই।
I'll scream.	আমি চেঁচাবো।
I'm 17, too.	আমিও ১৭।
I'm a woman.	আমি একজন মহিলা।
I'm dancing.	আমি নাচছি।
I'm healthy.	আমি সুস্থ।
I'm not Tom.	আমি টম নই।
I'm reading.	আমি পড়ছি।
I'm talking.	আমি কথা বলছি।
I'm thirsty.	আমার তেষ্টা পেয়েছে।
Is Tom here?	টম কি এখানে আছে?
Is Tom home?	টম কি বাড়িতে আছে?
Is Tom well?	টম কি ভালো আছে?
Is that all?	অার কিছু?
It can't be!	এটা হতে পারে না!
It can't be!	হতেই পারে না!
It may snow.	বরফ পরতে পারে।
Look at Tom.	টমের দিকে তাকান।
Look at Tom.	টমের দিকে তাকাও।
Many thanks.	অনেক ধন্যবাদ।
That's mine.	ওটা আমার।
They yelled.	তারা চিৎকার করলো।
This is new.	এটা নতুন।
Tom frowned.	টম ভ্রূকুটি করলো।
Tom got mad.	টম রেগে গেছিলো।
Tom inhaled.	টম নিশ্বাস ছাড়লো।
Tom is dead.	টম মৃত।
Are we ready?	আমরা কি তৈরি?
Are you sick?	আপনি কি অসুস্থ?
Are you sick?	তুমি কি অসুস্থ?
Are you sure?	তুমি নিশ্চিত তো?
Are you sure?	আপনি নিশ্চিত তো?
Can you read?	আপনি পড়তে পারেন?
Can you read?	তুমি পড়তে পারো?
Come outside.	বাইরে আসো।
Come outside.	বাইরে আসুন।
Come with me.	আমার সাথে এসো।
Come with me.	আমার সঙ্গে আসুন।
Come with me.	আমার সঙ্গে আস।
Drive slowly.	আস্তে গাড়ি চালান।
Drive slowly.	আস্তে গাড়ি চালাও।
Ghosts exist.	ভুত আছে।
Good evening.	শুভ সন্ধ্যা।
Good morning.	সুপ্রভাত।
Grab my hand.	আমার হাতটা ধরুন।
